nom_col,LATITUD,LONGITUD,DIRECCION_FORMATEADA,TIPO_UBICACION,PLACE_ID,TIPOS,TIMESTAMP
CALIFORNIA PRIVADA MONTEBELLO,29.1207363,-111.0601993,"California Residencial Privada Montebello, Azuaga, 83177 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJd5si-MGBzoYR4etFpG76fWU,"establishment, park, point_of_interest",2025-11-05T23:16:04.674843
CALIFORNIA PRIVADA SANTA MONICA,29.1200468,-111.0603711,"4WCQ+2V6, 83177 Hermosillo, Sonora, Mexico",GEOMETRIC_CENTER,ChIJK4a8ZgCBzoYRgT6CdCRoVfo,"establishment, point_of_interest",2025-11-05T23:16:05.056795
CALISTOGA,29.083851,-111.0069939,"Calistoga, Villa de Parras, 83224 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJC84md_GDzoYRPTMofrnA7G4,route,2025-11-05T23:16:05.411562
CAMINO REAL,29.1168088,-111.0119488,"Cam. Real, Camino Real, 83178 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJG4KGa0aBzoYRjzt0ckqoQl0,route,2025-11-05T23:16:05.760626
CAMINO REAL DEL NORTE,29.1220804,-111.00394,"Camino Real Nte, Hermosillo, Son., Mexico",APPROXIMATE,ChIJQ16UB0qBzoYRZsd7rmgr1lQ,"political, sublocality, sublocality_level_1",2025-11-05T23:16:06.119311
CAMPANARIO,29.0843343,-111.0035675,"Campanario, 83249 Hermosillo, Son., Mexico",APPROXIMATE,ChIJOweHwPaDzoYRPBZng0LIepk,"political, sublocality, sublocality_level_1",2025-11-05T23:16:06.481397
CAMPO GRANDE,28.8718313,-111.2502147,"83324 Campo Grande, Sonora, Mexico",APPROXIMATE,ChIJC7pXXWUjzIYRaqUmaT5sY6M,"locality, political",2025-11-05T23:16:06.826522
CANTERAS RESIDENCIAL,29.1775371,-110.9900635,"Rtno Dolomita 27, sección Esperanza, 83117 Hermosillo, Son., Mexico",ROOFTOP,ChIJ8Tg6_QWBzoYRrjknCoL959A,"establishment, point_of_interest",2025-11-05T23:16:07.178748
CAPERUZO,29.1502115,-110.9845666,"Caperuzo, 83105 Hermosillo, Son., Mexico",APPROXIMATE,ChIJCzRzsyeHzoYRfzrBU2WtOAU,"political, sublocality, sublocality_level_1",2025-11-05T23:16:07.527353
CARDENO ETAPA CELESTE II,29.1573596,-110.9712538,"C. Reyes Nte., Cárdeno Residencial, 83114 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJrWJZwR2HzoYRUS2vn5zhifI,"establishment, general_contractor, point_of_interest",2025-11-05T23:16:07.908714
CARDENO RESIDENCIAL,29.1573596,-110.9712538,"C. Reyes Nte., Cárdeno Residencial, 83114 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJrWJZwR2HzoYRUS2vn5zhifI,"establishment, general_contractor, point_of_interest",2025-11-05T23:16:08.237176
CARMEN SERDAN,29.1374409,-110.984194,"Carmen Serdán, Hermosillo, Son., Mexico",APPROXIMATE,ChIJjU5S0NqGzoYRyjEoNQvItAU,"political, sublocality, sublocality_level_1",2025-11-05T23:16:08.599532
CASA ALTA RDCIAL,29.1053536,-110.991783,"Av Luis Orci 604, Choyal, 83100 Hermosillo, Son., Mexico",ROOFTOP,ChIJDzvfngKHzoYRRAhcAKPKROY,"establishment, point_of_interest",2025-11-05T23:16:08.967762
CASA BLANCA,29.3535356,-110.8212476,"83300 Casa Blanca, Sonora, Mexico",APPROXIMATE,ChIJSclnFM1lzoYRvsrZxUc1B9w,"locality, political",2025-11-05T23:16:09.338652
CASA BONITA RESIDENCIAL,29.1012536,-111.027412,"Casa Bonita Residencial, 83175 Hermosillo, Son., Mexico",APPROXIMATE,ChIJN3LsVWGBzoYR1DSttLBiF-4,"neighborhood, political",2025-11-05T23:16:09.694409
CASA GRANDE,29.0797559,-110.9976064,"Casa Grande, Hermosillo, Son., Mexico",APPROXIMATE,ChIJL023oAqEzoYR7FKCTLINXF4,"political, sublocality, sublocality_level_1",2025-11-05T23:16:10.053100
CASA LINDA,29.025575,-110.9659385,"Casa Linda, 83284 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ76xp-86EzoYRQV-6moAlyH4,"political, sublocality, sublocality_level_1",2025-11-05T23:16:10.421214
CASERIO SAHUARO,29.1086645,-111.011764,"Sahuaro, Hermosillo, Son., Mexico",APPROXIMATE,ChIJOxQ-OkWBzoYRMUNbh8d4j7A,"political, sublocality, sublocality_level_1",2025-11-05T23:16:10.782704
CASERIO SOLAR,29.1059495,-110.9456252,"Priv. Caserío Solar, Periodista, 83156 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJGVHsPNSFzoYRaAlh13hp2Ks,route,2025-11-05T23:16:11.128260
CASTELINA,29.0022316,-110.9327299,"Castelina, 83296 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJiw6HIcKazoYRU87dp39Bd9g,route,2025-11-05T23:16:11.483426
CATALINAS RESIDENCIAL,29.1258485,-110.9543659,"Catalinas 13, Catalinas, 83145 Hermosillo, Son., Mexico",ROOFTOP,ChIJ-QFl8dOHzoYR0-8zU0Hsdh8,"establishment, point_of_interest",2025-11-05T23:16:11.849388
