COLONIA,LATITUD,LONGITUD,DIRECCION_FORMATEADA,TIPO_UBICACION,PLACE_ID,TIPOS,TIMESTAMP
BANUS,29.1419003,-110.9610952,"Banus, Insurgentes, 83106 Hermosillo, Son., Mexico",APPROXIMATE,ChIJY-lIxfqGzoYRcanyR6b7IOY,"neighborhood, political",2025-11-05T17:37:11.945533
BANUS II,29.1285733,-111.0206473,"Av. Juan Pablo II, El Chaparral, 83179 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJRclODj2BzoYR2k00rXLvdQI,route,2025-11-05T17:37:12.322111
BARCELONA RESIDENCIAL,29.0668859,-110.9846803,"Cda. BARCELONES, 83288 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ2-S7c4qFzoYRonYRGdITG80,"establishment, general_contractor, point_of_interest",2025-11-05T17:37:12.698090
BARRIO CHULO,29.1280155,-111.0092239,"Antonio Castro 99, Unión de Ladrilleros, 83179 Hermosillo, Son., Mexico",ROOFTOP,ChIJgz7PbKuBzoYR-fAChZGVr5c,"car_repair, establishment, general_contractor, point_of_interest",2025-11-05T17:37:13.064579
BARRIO DE LA CRUZ\BAHIA DE KINO,28.819422,-111.9365993,"La Cruz, 83342 Bahía de Kino, Son., Mexico",APPROXIMATE,ChIJU1IUByX3zIYRcPmpur84Rtg,"political, sublocality, sublocality_level_1",2025-11-05T17:37:13.463610
BELLA VISTA,29.116188,-110.9890374,"Bella Vista, Hermosillo, Son., Mexico",APPROXIMATE,ChIJffWqSLCGzoYRV_T9KB4zeNw,"political, sublocality, sublocality_level_1",2025-11-05T17:37:13.823224
BENEI RESIDENCIAL,29.11915549999999,-111.024313,"Blvd. Paseo Benei, 83177 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJJyzEMhWBzoYR0aTWOaR71jw,"establishment, point_of_interest",2025-11-05T17:37:14.190288
BENITO JUÁREZ,29.1256134,-110.9886648,"Benito Juárez, Hermosillo, Son., Mexico",APPROXIMATE,ChIJURI08ceGzoYRMfxEz9Gcfoo,"political, sublocality, sublocality_level_1",2025-11-05T17:37:14.549703
BERNARDO ESQUEDA,29.1298054,-110.9662785,"Esqueda & Calle General Bernardo Reyes, Lopez Portillo, 83104 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ElZFc3F1ZWRhICYgQ2FsbGUgR2VuZXJhbCBCZXJuYXJkbyBSZXllcywgTG9wZXogUG9ydGlsbG8sIDgzMTA0IEhlcm1vc2lsbG8sIFNvbi4sIE1leGljbyJmImQKFAoSCUdXJd3shs6GERSlC4vjvjy5EhQKEglHVyXd7IbOhhEUpQuL4748uRoUChIJH6FDQOuGzoYRLnrSrKyiZBMaFAoSCWs0Iu_uhs6GETnTWGhA8rgNIgoNBttcERW_49u9,intersection,2025-11-05T17:37:14.914714
BICENTENARIO,29.1675749,-111.0035649,"Av. Bicentenario, 83117 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJYcFQ7bWAzoYRSB6_YG9OosE,route,2025-11-05T17:37:15.277976
BICENTENARIO 1810,29.1678099,-111.0005988,"Av. Bicentenario 1810, Colonia bicentenario, 83119 Hermosillo, Son., Mexico",ROOFTOP,ChIJEWI0e7WAzoYRLCQU3Z5N7lk,"street_address, subpremise",2025-11-05T17:37:15.634039
